
 {'ts': 1690676692477, 'value': 59.10376988714221, 'Sent by': 'Davidino', 'response': 200, 'system_ts': 1729074211.1540427}
 {'ts': 1690755893624, 'value': 58.9991184106063, 'response': 200, 'system_ts': 1729074294.4597304}
 {'ts': 1690748693588, 'value': 58.99278141263021, 'response': 200, 'system_ts': 1729074295.263544}
 {'ts': 1690741493520, 'value': 58.91498428526846, 'response': 200, 'system_ts': 1729074296.0687168}
 {'ts': 1690734293452, 'value': 58.91432202538029, 'response': 200, 'system_ts': 1729074296.8726928}
 {'ts': 1690727093408, 'value': 58.86354805540189, 'response': 200, 'system_ts': 1729074297.6766267}
 {'ts': 1690719892198, 'value': 58.677775055486435, 'response': 200, 'system_ts': 1729074298.4564977}
 {'ts': 1690712692755, 'value': 58.888727257077946, 'response': 200, 'system_ts': 1729074299.260069}
 {'ts': 1690755893624, 'value': 58.9991184106063, 'response': 200, 'system_ts': 1729074312.118326}
 {'ts': 1690748693588, 'value': 58.99278141263021, 'response': 200, 'system_ts': 1729074312.8962374}
 {'ts': 1690741493520, 'value': 58.91498428526846, 'response': 200, 'system_ts': 1729074313.6999307}
 {'ts': 1690734293452, 'value': 58.91432202538029, 'response': 200, 'system_ts': 1729074314.4780278}
 {'ts': 1690727093408, 'value': 58.86354805540189, 'response': 200, 'system_ts': 1729074315.2812498}
 {'ts': 1690719892198, 'value': 58.677775055486435, 'response': 200, 'system_ts': 1729074316.0598228}
 {'ts': 1690712692755, 'value': 58.888727257077946, 'response': 200, 'system_ts': 1729074316.8384142}
 {'ts': 1690705493254, 'value': 59.017622988935, 'response': 200, 'system_ts': 1729074317.6172452}
 {'ts': 1690698294903, 'value': 59.07077330793042, 'response': 200, 'system_ts': 1729074318.3999503}
 {'ts': 1690691093161, 'value': 59.093199555867685, 'response': 200, 'system_ts': 1729074319.2037697}
 {'ts': 1690683892525, 'value': 59.107366918221786, 'response': 200, 'system_ts': 1729074319.9819143}
 {'ts': 1690676692477, 'value': 59.10376988714221, 'response': 200, 'system_ts': 1729074320.7599351}
 {'ts': 1690755893624, 'value': 58.9991184106063, 'response': 200, 'system_ts': 1729074486.979565}
 {'ts': 1690748693588, 'value': 58.99278141263021, 'response': 200, 'system_ts': 1729074487.7602973}
 {'ts': 1690741493520, 'value': 58.91498428526846, 'response': 200, 'system_ts': 1729074488.5430732}
 {'ts': 1690734293452, 'value': 58.91432202538029, 'response': 200, 'system_ts': 1729074489.374767}
 {'ts': 1690727093408, 'value': 58.86354805540189, 'response': 200, 'system_ts': 1729074490.1544926}
 {'ts': 1690719892198, 'value': 58.677775055486435, 'response': 200, 'system_ts': 1729074490.935445}
 {'ts': 1690712692755, 'value': 58.888727257077946, 'response': 200, 'system_ts': 1729074491.7169354}
 {'ts': 1690705493254, 'value': 59.017622988935, 'response': 200, 'system_ts': 1729074492.5227282}
 {'ts': 1690698294903, 'value': 59.07077330793042, 'response': 200, 'system_ts': 1729074493.3288293}
 {'ts': 1690691093161, 'value': 59.093199555867685, 'response': 200, 'system_ts': 1729074494.1085155}
 {'ts': 1690683892525, 'value': 59.107366918221786, 'response': 200, 'system_ts': 1729074494.888342}
